Initial weights:
  mobility: 140.00
  psqt: 10.00
  frontier: 40.00
  parity: 90.00
  corners: 800.00
  corner_closeness: 40.00
Starting TD(λ) training for 5000 episodes...
Parameters: α=0.0001, λ=0.7, ε=0.15, search=2@30ms
Episode 0/5000  elapsed 0.0s
Episode 1560/5000  elapsed 1378.8s
Episode 1570/5000  elapsed 1388.8s
Episode 1580/5000  elapsed 1396.2s
Episode 1590/5000  elapsed 1404.0s
Episode 1600/5000  elapsed 1410.1s
Episode 1610/5000  elapsed 1416.1s
Episode 1620/5000  elapsed 1424.0s
Episode 1630/5000  elapsed 1430.8s
Episode 1640/5000  elapsed 1439.7s
Episode 1650/5000  elapsed 1448.6s
Episode 1660/5000  elapsed 1456.7s
Episode 1670/5000  elapsed 1464.3s
Episode 1680/5000  elapsed 1471.9s
Episode 1690/5000  elapsed 1479.6s
Episode 1700/5000  elapsed 1486.7s
Episode 1710/5000  elapsed 1493.1s
Episode 1720/5000  elapsed 1500.9s
Episode 1730/5000  elapsed 1509.1s
Episode 1740/5000  elapsed 1515.9s
Episode 1750/5000  elapsed 1524.4s
Episode 1760/5000  elapsed 1533.0s
Episode 1770/5000  elapsed 1540.8s
Episode 1780/5000  elapsed 1548.4s
Episode 1790/5000  elapsed 1556.2s
Episode 1800/5000  elapsed 1563.2s
Episode 1810/5000  elapsed 1570.2s
Episode 1820/5000  elapsed 1578.7s
Episode 1830/5000  elapsed 1586.7s
Episode 1840/5000  elapsed 1594.3s
Episode 1850/5000  elapsed 1602.5s
Episode 1860/5000  elapsed 1609.8s
Episode 1870/5000  elapsed 1616.0s
Episode 1880/5000  elapsed 1622.9s
Episode 1890/5000  elapsed 1630.8s
Episode 1900/5000  elapsed 1637.1s
Episode 1910/5000  elapsed 1646.7s
Episode 1920/5000  elapsed 1654.8s
Episode 1930/5000  elapsed 1663.1s
Episode 1940/5000  elapsed 1673.6s
Episode 1950/5000  elapsed 1681.6s
Episode 1960/5000  elapsed 1689.7s
Episode 1970/5000  elapsed 1698.0s
Episode 1980/5000  elapsed 1706.0s
Episode 1990/5000  elapsed 1715.2s
Episode 2000/5000  elapsed 1721.3s
Episode 2010/5000  elapsed 1729.2s
Episode 2020/5000  elapsed 1736.7s
Episode 2030/5000  elapsed 1742.9s
Episode 2040/5000  elapsed 1750.0s
Episode 2050/5000  elapsed 1756.8s
Episode 2060/5000  elapsed 1764.4s
Episode 2070/5000  elapsed 1771.9s
Episode 2080/5000  elapsed 1780.1s
Episode 2090/5000  elapsed 1787.3s
Episode 2100/5000  elapsed 1794.6s
Episode 2110/5000  elapsed 1801.6s
Episode 2120/5000  elapsed 1809.7s
Episode 2130/5000  elapsed 1818.4s
Episode 2140/5000  elapsed 1825.9s
Episode 2150/5000  elapsed 1831.2s
Episode 2160/5000  elapsed 1838.5s
Episode 2170/5000  elapsed 1844.4s
Episode 2180/5000  elapsed 1852.4s
Episode 2190/5000  elapsed 1858.9s
Episode 2200/5000  elapsed 1866.9s
Episode 2210/5000  elapsed 1874.1s
Episode 2220/5000  elapsed 1882.7s
Episode 2230/5000  elapsed 1889.3s
Episode 2240/5000  elapsed 1895.7s
Episode 2250/5000  elapsed 1901.7s
Episode 2260/5000  elapsed 1910.1s
Episode 2270/5000  elapsed 1917.6s
Episode 2280/5000  elapsed 1924.7s
Episode 2290/5000  elapsed 1932.3s
Episode 2300/5000  elapsed 1939.9s
Episode 2310/5000  elapsed 1947.5s
Episode 2320/5000  elapsed 1955.0s
Episode 2330/5000  elapsed 1961.7s
Episode 2340/5000  elapsed 1969.8s
Episode 2350/5000  elapsed 1980.9s
Episode 2360/5000  elapsed 1987.9s
Episode 2370/5000  elapsed 1994.3s
Episode 2380/5000  elapsed 2001.7s
Episode 2390/5000  elapsed 2007.9s
Episode 2400/5000  elapsed 2015.8s
Episode 2410/5000  elapsed 2023.4s
Episode 2420/5000  elapsed 2031.5s
Episode 2430/5000  elapsed 2038.4s
Episode 2440/5000  elapsed 2045.4s
Episode 2450/5000  elapsed 2052.5s
Episode 2460/5000  elapsed 2058.9s
Episode 2470/5000  elapsed 2068.4s
Episode 2480/5000  elapsed 2076.1s
Episode 2490/5000  elapsed 2082.1s
Episode 2500/5000  elapsed 2090.2s
Episode 2510/5000  elapsed 2098.1s
Episode 2520/5000  elapsed 2106.8s
Episode 2530/5000  elapsed 2113.8s
Episode 2540/5000  elapsed 2120.3s
Episode 2550/5000  elapsed 2129.6s
Episode 2560/5000  elapsed 2137.6s
Episode 2570/5000  elapsed 2144.5s
Episode 2580/5000  elapsed 2151.3s
Episode 2590/5000  elapsed 2158.5s
Episode 2600/5000  elapsed 2165.8s
Episode 2610/5000  elapsed 2172.9s
Episode 2620/5000  elapsed 2181.1s
Episode 2630/5000  elapsed 2189.2s
Episode 2640/5000  elapsed 2195.7s
Episode 2650/5000  elapsed 2206.2s
Episode 2660/5000  elapsed 2213.9s
Episode 2670/5000  elapsed 2221.6s
Episode 2680/5000  elapsed 2229.8s
Episode 2690/5000  elapsed 2237.7s
Episode 2700/5000  elapsed 2246.3s
Episode 2710/5000  elapsed 2252.7s
Episode 2720/5000  elapsed 2260.4s
Episode 2730/5000  elapsed 2267.1s
Episode 2740/5000  elapsed 2275.0s
Episode 2750/5000  elapsed 2281.9s
Episode 2760/5000  elapsed 2288.3s
Episode 2770/5000  elapsed 2296.3s
Episode 2780/5000  elapsed 2302.8s
Episode 2790/5000  elapsed 2308.1s
Episode 2800/5000  elapsed 2315.4s
Episode 2810/5000  elapsed 2323.0s
Episode 2820/5000  elapsed 2329.9s
Episode 2830/5000  elapsed 2337.4s
Episode 2840/5000  elapsed 2345.2s
Episode 2850/5000  elapsed 2351.8s
Episode 2860/5000  elapsed 2359.9s
Episode 2870/5000  elapsed 2369.5s
Episode 2880/5000  elapsed 2376.8s
Episode 2890/5000  elapsed 2389.9s
Episode 2900/5000  elapsed 2396.1s
Episode 2910/5000  elapsed 2403.1s
Episode 2920/5000  elapsed 2410.4s
Episode 2930/5000  elapsed 2417.7s
Episode 2940/5000  elapsed 2425.4s
Episode 2950/5000  elapsed 2434.0s
Episode 2960/5000  elapsed 2441.2s
Episode 2970/5000  elapsed 2450.6s
Episode 2980/5000  elapsed 2458.7s
Episode 2990/5000  elapsed 2466.7s
Episode 3000/5000  elapsed 2472.9s
Episode 3010/5000  elapsed 2481.7s
Episode 3020/5000  elapsed 2488.1s
Episode 3030/5000  elapsed 2495.0s
Episode 3040/5000  elapsed 2503.4s
Episode 3050/5000  elapsed 2510.1s
Episode 3060/5000  elapsed 2516.8s
Episode 3070/5000  elapsed 2524.0s
Episode 3080/5000  elapsed 2531.2s
Episode 3090/5000  elapsed 2538.7s
Episode 3100/5000  elapsed 2546.0s
Episode 3110/5000  elapsed 2553.0s
Episode 3120/5000  elapsed 2561.4s
Episode 3130/5000  elapsed 2570.5s
Episode 3140/5000  elapsed 2577.3s
Episode 3150/5000  elapsed 2584.0s
Episode 3160/5000  elapsed 2590.9s
Episode 3170/5000  elapsed 2597.6s
Episode 3180/5000  elapsed 2606.3s
Episode 3190/5000  elapsed 2613.5s
Episode 3200/5000  elapsed 2620.7s
Episode 3210/5000  elapsed 2628.3s
